"year","marst","spouse_coresident","n","pop"
2010,1,TRUE,1274880,115864669
2010,2,FALSE,45087,5069006
2011,1,TRUE,1251188,115631467
2011,2,FALSE,53177,5280477
2012,1,TRUE,1260946,116119095
2012,2,FALSE,52232,5249371
2013,1,TRUE,1273196,116350957
2013,2,FALSE,55683,5762746
2014,1,TRUE,1273438,117203633
2014,2,FALSE,56361,5874993
2015,1,TRUE,1282842,117940187
2015,2,FALSE,56299,5910834
2016,1,TRUE,1288618,118553501
2016,2,FALSE,57546,6042811
2017,1,TRUE,1302394,120448825
2017,2,FALSE,58817,6162981
2018,1,TRUE,1315458,121005237
2018,2,FALSE,60430,6280814
2019,1,TRUE,1338592,121299710
2019,2,FALSE,60316,6217417
2020,1,TRUE,1069684,124675379
2020,2,FALSE,51318,5715152
2021,1,TRUE,1329674,124624463
2021,2,FALSE,59402,5844496
2022,1,TRUE,1382852,125721521
2022,2,FALSE,63717,5939617
2023,1,TRUE,1402160,126545368
2023,2,FALSE,65848,6098071
2024,1,TRUE,1406958,127848190
2024,2,FALSE,69699,6522456
